campaign,condition_id,trial,payload,modulation,fec,repeats,inter_frame_silence,symbol_duration,frequency_zero,frequency_one,spacing_hz,noise_level,attenuation,success,ber,snr_db,airtime_s,coded_bits,payload_bytes,sync_fail,crc_fail,decode_cpu_ms,provenance
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,61.1954936623945,7.280000000000001,104,5,0,0,414.06375099904835,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,63.19096871418993,7.280000000000001,104,5,0,0,414.37811602372676,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,0,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,70.63206865207128,5.2,104,5,0,0,297.92033007834107,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,1,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,67.9942547184223,5.2,104,5,0,0,325.61317295767367,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,2,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,71.65095481035601,5.2,104,5,0,0,298.3468169113621,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,3,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,79.62346078566303,5.2,104,5,0,0,298.2689639320597,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,4,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,76.19711332335824,5.2,104,5,0,0,298.3946979511529,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,5,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,70.72899765237936,5.2,104,5,0,0,298.41617203783244,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,6,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,73.50017820463974,5.2,104,5,0,0,326.7605499131605,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,7,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,72.71678627374656,5.2,104,5,0,0,300.04899099003524,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,8,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,70.17296899236165,5.2,104,5,0,0,327.19766697846353,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,68.2437776896979,5.2,104,5,0,0,327.06584699917585,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,10,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,68.52458593310462,5.2,104,5,0,0,327.42027495987713,SIMULATED_RX
tsym,tsym_T0.050_N0.002_cpfsk_none_r1,11,HELLO,cpfsk,none,1,0.0,0.05,3000.0,8000.0,5000.0,0.002,0.6,1,0.0,71.98176977263289,5.2,104,5,0,0,315.9437789581716,SIMULATED_RX
